,Unnamed: 0,DealerID,NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,InteriorColor,EngineCylinders,Trim,Doors,Transmission,SellingPrice,MSRP,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription,EPA_Unit,Safety details,Finance,discounts and offers,address and contact details,Working hours and Days,Trade in and Exchange
0,0,2013,USED,2021,Jeep,Grand Cherokee,WKJH74,Bright White Clearcoat,Black,6,Laredo X 4x4,4,Automatic,33981,36988,38678,FALSE,18,25,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
1,1,2013,USED,2021,Dodge,Durango,WDEH75,Billet Metallic Clearcoat,Black,6,GT AWD,4,Automatic,40555,40555,11588,FALSE,18,25,Gasoline,All Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
2,2,2013,USED,2021,Ram,1500,DT6H98,Bright White Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,42812,46988,27089,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
3,3,2013,NEW,2022,Ram,2500,DJ7H91,Granite Crystal Metallic Clearcoat,Black,8,"Big Horn 4x4 Crew Cab 6'4"" Box",4,Automatic,64050,68050,270,FALSE,0,0,Diesel,Four Wheel Drive,6-Speed Automatic,,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
4,4,2013,NEW,2022,Jeep,Grand Wagoneer,WSJR75,Baltic Gray Metallic Clearcoat,Black,8,Series I 4x4,4,Automatic,87888,92825,2863,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
5,5,2013,NEW,2022,Jeep,Grand Wagoneer,WSJS75,Diamond Black Crystal Pearlcoat,Black,8,Series II 4x4,4,Automatic,97888,103625,4699,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
6,6,2013,NEW,2022,Ram,1500,DT6H98,Granite Crystal Metallic Clearcoat,Black,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,Automatic,51392,55480,77,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
7,7,2013,NEW,2022,Jeep,Cherokee,KLJH74,Granite Crystal Metallic Clearcoat,Black,6,Trailhawk 4x4,4,Automatic,40087,42780,4000,FALSE,18,24,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
8,8,2013,NEW,2022,Jeep,Gladiator,JTJP98,Black Clearcoat,Black,6,High Altitude 4x4,4,Automatic,57212,58800,53,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
9,9,2013,NEW,2022,Jeep,Cherokee,KLJP74,Sting-Gray Clearcoat,Black,6,Limited 4x4,4,Automatic,38903,41285,4,FALSE,19,27,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic,MPG,"At our dealership, we prioritize your safety. Our vehicles are equipped with advanced safety features, including modern driver assistance systems and robust airbag systems, designed to provide you with a secure driving experience.","we offer a range of choices to fit your budget and preferences. Our team can assist you in exploring loan options, lease agreements, and any available special promotions to help you make an informed decision that aligns with your financial needs. Contact (76625555576)","We have a variety of special offers, promotions, and discounts available for our vehicles, such as seasonal sales, financing incentives, and trade-in bonuses. These offers vary based on the model, trim, and availability.  For moe details please contact(76625555576)","Phone: (555) 123-4567
Address: 567 Oak Avenue, Anytown, CA 98765
Email: jessica.smith@example.com",Working Days: All week days except Sundays .  Working Hours: Morning  9AM-7PM                              ," At our car dealership, we offer both trade-in and exchange options for your convenience.  Our team will be happy to provide you with more details and guide you through the process.




"
